id	filename	md5	size	state
6c512bfd-0c13-4c23-a782-4b23869db321	TCGA-55-8614-01A-01-TS1.8614fe5d-8f1d-4c0e-8867-43e621e76018.svs	accabb59dbd52ad3be6b7ba19a911e68	64043839	released
0860430d-d42f-45dd-9c59-9031ca944cb1	TCGA-55-A57B-01A-01-TS1.470598E9-1F33-4D37-8C93-21876A8C5F96.svs	c71da42452852abf4878415e78700c07	201968005	released
4d1ebcfc-d259-4b38-b240-1136bc548e45	TCGA-MP-A4T9-01A-01-TSA.B7A40984-AD7A-4BBD-8BEB-AF66CB6B8382.svs	b802f57ebf98908d63bf2a6e5670f902	260206029	released
8afd4a2b-1f89-463d-8594-93cbf2cc2dc5	TCGA-44-7660-01A-01-TS1.c1e1a47f-0836-4cc8-8dac-b91f51a64fac.svs	fa47a3c5266b9cc721e216622765764b	247378053	released
312fbd61-82ea-44d6-b14b-aeee0eebc193	TCGA-44-6147-01A-01-BS1.cfa99719-2df2-4b32-be20-2c96483727cb.svs	112744619eda04efa974ca364476cc80	121110813	released
d56aca17-dfee-4ee4-995b-7f121275d23b	TCGA-44-4112-01B-06-BS6.A229C77A-9386-47FE-BDED-15541C9A4D19.svs	556660428b9ff421007b01376a2ed205	310506783	released
37a8f0eb-be0b-4e67-a537-8b2265fec00b	TCGA-55-A48Y-01A-01-TS1.7E687316-BAFB-47A4-90C6-35BCDDA253CD.svs	9dbdfcc0f6f71531af3d20ffe3090f80	136109876	released
0238f8f8-a9e8-42b0-a071-d8e6e61cb30e	TCGA-55-6975-01A-01-TS1.5904f571-40fe-4262-962c-d233ed4c6b87.svs	817bacfca012440735fb404a9c870b17	74853157	released
0951596b-f583-42fa-bc4d-95b1b4262e0e	TCGA-69-7980-01A-01-TS1.8bbfa52c-1409-4fd6-bf6a-d7c8362adcee.svs	28e946acd10bfa08351cb3e9f92b320e	96475161	released
24ecba3f-177f-417c-bc13-514b13e1498f	TCGA-91-7771-01A-01-TS1.42bc9a02-3c6e-483d-9419-8971a7e285b1.svs	c1a3386411fe5d680487793c25319339	172794315	released
b5bf5c3c-dff6-4984-a722-bf029474b734	TCGA-62-8394-01A-01-TS1.13349af3-80d7-4983-958e-6769819c5484.svs	08326163cdd1bd18e209592157e41d98	322239509	released
3c02c989-edca-4db0-bc88-05fe75592c17	TCGA-91-6831-11A-01-TS1.4346239f-de98-4c3f-8790-40766161d2c7.svs	90c14f7ca61921181c4df8b269ae1fb4	427590855	released
99e7aa99-4e63-472b-87ad-0d5a4d7466ab	TCGA-91-6840-01A-01-TS1.34968e0a-95a9-429b-b0a3-0a96b314b797.svs	55610db3f3c1a8f5917959a257d3a355	42939241	released
20f5a11a-851f-467c-a1b1-113a3e7a6a55	TCGA-05-4245-01A-01-TS1.bf71c76b-e802-4a7a-b6c3-c5f46212fab0.svs	a6497984f1b233e8154932707bdb4d73	69880447	released
0652d985-54e0-4b2a-9cd7-f70b9a1c7bd1	TCGA-44-8119-01A-01-BS1.0b182635-9f71-4365-bd6e-61cd4057dead.svs	6974ba5e81fedb1e1cb2cfbeba90b2e6	885222593	released
0e8ecb36-8e05-411e-bc6b-ca5e43f9a95f	TCGA-44-2661-01A-01-TS1.72c6763d-5fd9-46a0-b7e3-a9b62076631e.svs	affa55a6dea7502839f78e59477b3f78	155206399	released
b02014e1-1346-4860-b9be-34513964bbec	TCGA-97-A4M7-01A-01-TSA.968E9B8F-D1F7-486D-B2BF-D056F4A686A5.svs	45d95346eef360f4e67fbd4e0717d605	455942747	released
e694ca78-e92b-4a39-8a67-f2119f4a03d7	TCGA-55-7573-01A-01-TS1.1716e918-eff9-45fe-aa38-a32c3cd7807e.svs	5e2faceb3898ff26ec1075916ea927d7	62104311	released
b6707750-332a-47b1-b5db-9686f0a83c5c	TCGA-95-7039-01A-01-TS1.e11bc968-6fff-4889-8062-6a8c73a2e7c6.svs	a8b01da0313fc52f2bafb30dd76864ea	140122611	released
7d66b9e3-fd77-4611-9ab4-07cdacd797fb	TCGA-86-6562-01A-01-BS1.9b705d9f-eb8e-467c-9f31-aa5e5b1faaec.svs	e8682142b2cc4055ad8052188e74447b	463786671	released
9fb490b6-3b88-4a94-b0a0-d89a78386048	TCGA-44-6144-01A-01-BS1.18f68ab2-5f50-4578-bc9d-6b96b319755d.svs	8516d7b943359a7997e9529013c9c74e	92389399	released
2480e237-98fd-477c-9660-6a19d28da825	TCGA-55-8091-01A-01-TS1.ab1bfa91-9b10-41cf-8ffb-65e3aaf650d0.svs	a8b04906b826ffc5ac702655310f6f66	103768527	released
15b4796c-1601-469a-87b6-00c20da84572	TCGA-49-4501-01A-01-TS1.a4690842-db9d-4f6f-8e45-2a81ad668470.svs	df0f2b1b0e25ab5f8db329ed1ff2ff62	250989797	released
332dfa2e-59cf-4d01-a4c7-2af7925c688d	TCGA-44-6147-01A-03-TS3.3E53A461-CB2B-40A0-9710-E342C30C37F3.svs	4e5eb92254f375c4d1eafbd522794228	326438786	released
c414bede-d807-4b9b-a61e-8c13a679f23d	TCGA-38-4629-01A-02-BS2.c51001e1-bed7-4861-b6df-78640d5ae45a.svs	73f65ef809581eb845b0ef25670ea678	134534265	released
e0ca50b3-96fe-4fea-9991-b42cddd70266	TCGA-44-6147-01B-03-BS3.B5B5233D-4157-4A68-B260-A264D54E98E1.svs	18e376b77f70d33ec0e1442f189efda4	138798649	released
